OptionTicker,Underlying,OptionType,TradeDate,Expiration,Strike,Spot,Bid,Ask,Mid,ImpliedVol,Delta,Notional,Currency
INRUSD OPT 20251017 0.0113 P,INRUSD,Put,2025-10-12,2025-10-17,0.0113,0.011266678571701,9e-05,0.0001,9.5e-05,0.18,-0.5,100000,USD
INRUSD OPT 20251017 0.0113 P,INRUSD,Put,2025-10-12,2025-10-17,0.0113,0.011266678571701,9e-05,0.0001,9.5e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20251010 0.01 P,JPYUSD,Put,2025-10-06,2025-10-10,0.01,0.0066519882529973,2.1e-05,2.3e-05,2.2e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250912 0.0113 P,INRUSD,Put,2025-09-09,2025-09-12,0.0113,0.0113355163484811,7e-05,7.8e-05,7.4e-05,0.18,-0.5,100000,USD
GBPUSD OPT 20250822 1.3508 P,GBPUSD,Put,2025-08-18,2025-08-22,1.3508,1.3508219718933103,0.005374,0.005939,0.005656,0.1,-0.5,100000,USD
CADUSD OPT 20250801 0.7217 P,CADUSD,Put,2025-07-31,2025-08-01,0.7217,0.7216569185256958,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
INRUSD OPT 20250801 0.0114 P,INRUSD,Put,2025-07-30,2025-08-01,0.0114,0.0114006102085113,5.8e-05,6.4e-05,6.1e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20250801 0.01 P,JPYUSD,Put,2025-07-30,2025-08-01,0.01,0.0067012449726462,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
GBPUSD OPT 20250801 1.3354 P,GBPUSD,Put,2025-07-29,2025-08-01,1.3354,1.3353630304336548,0.0046,0.005085,0.004843,0.1,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-22,2025-07-25,0.01,0.0068126851692795,1.9e-05,2.1e-05,2e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250725 0.0116 P,INRUSD,Put,2025-07-20,2025-07-25,0.0116,0.0116078499704599,9.3e-05,0.000103,9.8e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20250704 0.01 P,JPYUSD,Put,2025-06-30,2025-07-04,0.01,0.0069541027769446,2.2e-05,2.4e-05,2.3e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250620 0.0116 P,INRUSD,Put,2025-06-15,2025-06-20,0.0116,0.0115943104028701,9.3e-05,0.000103,9.8e-05,0.18,-0.5,100000,USD
CADUSD OPT 20250530 0.7241 P,CADUSD,Put,2025-05-27,2025-05-30,0.7241,0.7241129279136658,0.002245,0.002481,0.002363,0.09,-0.5,100000,USD
CADUSD OPT 20250530 0.7241 P,CADUSD,Put,2025-05-27,2025-05-30,0.7241,0.7241129279136658,0.002245,0.002481,0.002363,0.09,-0.5,100000,USD
