iter	Passed	Remaining
0	0	243
1	1	240
2	2	242
3	3	234
4	3	229
5	4	229
6	5	228
7	6	229
8	7	227
9	7	224
10	8	223
11	9	222
12	10	222
13	10	221
14	11	220
15	12	219
16	13	218
17	13	217
18	14	216
19	15	215
20	16	213
21	16	212
22	17	211
23	18	210
24	19	209
25	19	208
26	20	207
27	21	206
28	22	206
29	22	205
30	23	204
31	24	204
32	25	203
33	25	202
34	26	201
35	27	200
36	28	199
37	28	198
38	29	197
39	30	196
40	30	195
41	31	195
42	32	194
43	33	193
44	33	192
45	34	191
46	35	191
47	36	190
48	36	189
49	37	188
50	38	187
51	39	187
52	40	186
53	40	185
54	41	184
55	42	183
56	42	183
57	43	182
58	44	181
59	45	180
60	45	179
61	46	179
62	47	177
63	48	177
64	48	176
65	49	175
66	50	174
67	50	173
68	51	173
69	52	172
70	53	171
71	53	170
72	54	169
73	55	169
74	56	168
75	56	167
76	57	166
77	58	165
78	58	164
79	59	164
80	60	163
81	61	162
82	61	161
83	62	160
84	63	160
85	64	160
86	65	159
87	66	159
88	66	158
89	67	157
90	68	157
91	69	156
92	69	155
93	70	154
94	71	153
95	71	152
96	72	152
97	73	151
98	74	150
99	75	150
100	75	149
101	76	148
102	77	147
103	78	147
104	78	146
105	79	145
106	80	144
107	81	144
108	81	143
109	82	142
110	83	141
111	83	140
112	84	140
113	85	139
114	86	138
115	86	137
116	87	136
117	88	136
118	89	135
119	89	134
120	90	133
121	91	133
122	91	132
123	92	131
124	93	130
125	94	129
126	94	129
127	95	128
128	96	127
129	96	126
130	97	125
131	98	125
132	99	124
133	99	123
134	100	123
135	101	122
136	102	121
137	102	120
138	103	120
139	104	119
140	105	118
141	105	117
142	106	117
143	107	116
144	108	115
145	108	114
146	109	114
147	110	113
148	111	112
149	111	111
150	112	111
151	113	110
152	113	109
153	114	108
154	115	108
155	116	107
156	116	106
157	117	105
158	118	105
159	119	104
160	119	103
161	120	102
162	121	101
163	122	101
164	123	100
165	123	99
166	124	99
167	125	98
168	126	97
169	127	97
170	127	96
171	128	95
172	129	94
173	130	94
174	130	93
175	131	92
176	132	91
177	133	91
178	133	90
179	134	89
180	135	89
181	136	88
182	136	87
183	137	86
184	138	85
185	139	85
186	139	84
187	140	83
188	141	82
189	141	82
190	142	81
191	143	80
192	144	79
193	144	79
194	145	78
195	146	77
196	147	76
197	147	76
198	148	75
199	149	74
200	150	73
201	150	73
202	151	72
203	152	71
204	153	70
205	153	70
206	154	69
207	155	68
208	156	67
209	156	67
210	157	66
211	158	65
212	159	64
213	159	64
214	160	63
215	161	62
216	162	62
217	162	61
218	163	60
219	164	59
220	165	59
221	166	58
222	166	57
223	167	56
224	168	56
225	169	55
226	169	54
227	170	53
228	171	53
229	172	52
230	172	51
231	173	50
232	174	50
233	175	49
234	175	48
235	176	47
236	177	47
237	177	46
238	178	45
239	179	44
240	180	44
241	180	43
242	181	42
243	182	41
244	183	41
245	183	40
246	184	39
247	185	38
248	185	38
249	186	37
250	187	36
251	188	35
252	188	35
253	189	34
254	190	33
255	191	32
256	191	32
257	192	31
258	193	30
259	194	29
260	195	29
261	196	28
262	197	27
263	197	26
264	198	26
265	199	25
266	199	24
267	200	23
268	201	23
269	201	22
270	202	21
271	203	20
272	204	20
273	204	19
274	205	18
275	206	17
276	207	17
277	208	16
278	208	15
279	209	14
280	210	14
281	211	13
282	211	12
283	212	11
284	213	11
285	214	10
286	214	9
287	215	8
288	216	8
289	216	7
290	217	6
291	218	5
292	219	5
293	219	4
294	220	3
295	221	2
296	222	2
297	222	1
298	223	0
299	224	0
